,IDLattes,DuracaoDoutorado,Genero,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES,PrimeiraAreaNumeric
1601,1044875402209488,4.0,1,0,1.0,4.0,0,0,5
1602,1044890144641686,4.0,0,1,1.0,1.0,0,1,2
1603,1044890292653333,4.0,1,0,4.0,9.0,1,1,6
1604,1044907746581026,4.0,0,0,12.0,8.0,0,0,2
1605,1044910195501002,5.0,0,0,1.0,2.0,1,0,7
1606,1044955971496851,4.0,0,0,12.0,5.0,0,1,6
1607,1044983407798170,4.0,0,1,11.0,10.0,1,1,3
1608,1045017989201656,3.0,0,1,123.0,19.0,1,0,6
1609,1045024362139697,3.0,1,0,24.0,18.0,0,0,6
1610,1045067418353852,3.0,0,0,3.0,3.0,0,1,3
1611,1045158425279720,6.0,1,1,1.0,6.0,1,1,6
1612,1045198579580730,3.5,1,0,10.0,14.0,1,0,2
1613,1045203549961256,6.0,0,0,1.0,10.0,0,1,1
1614,1045208010402719,4.0,1,1,16.0,10.0,0,1,0
1615,1045230623475071,5.0,1,0,1.0,5.0,0,0,5
1616,1045241748448406,4.0,1,1,2.0,5.0,0,0,7
1617,1045272167785063,4.0,1,0,14.0,11.0,1,0,6
1618,1045310549582579,4.0,0,0,16.0,14.0,0,1,6
1619,1045374705143332,4.0,0,1,1.0,4.0,0,1,6
1620,1045384876655152,5.0,1,1,2.0,3.0,1,1,6
1621,1045451933356267,4.0,0,0,62.0,33.0,1,0,4
1622,1045455338816050,1.0,1,0,1.0,1.0,0,0,5
1623,1045471905007768,4.0,0,0,1.0,4.0,0,1,5
1624,1045486893769734,5.0,0,1,8.0,3.0,0,1,4
1625,1045548819773192,5.0,0,1,35.0,28.0,1,0,0
1626,1045554603139563,4.0,0,1,5.0,4.0,0,0,5
1627,1045652409149134,4.0,0,1,70.0,36.0,1,1,3
1628,1045670347248177,4.0,0,0,189.0,30.0,1,1,0
1629,1045681574037243,9.0,1,1,23.0,27.0,1,0,6
1630,1045718263605039,4.0,1,1,8.0,14.0,1,0,6
1631,1045718437313135,5.0,1,1,4.0,6.0,0,0,2
1632,1045730360485369,1.0,0,0,2.0,1.0,0,1,2
1633,1045756108420003,2.0,1,0,16.0,5.0,0,0,6
1634,1045756870740200,3.0,1,0,1.0,3.0,0,1,4
1635,1045783855577353,8.0,0,1,3.0,9.0,0,0,6
1636,1045808334961925,5.0,0,1,3.0,5.0,0,1,6
1637,1045812094471426,4.0,0,1,3.0,4.0,1,1,1
1638,1045837437849021,5.0,1,1,1.0,4.0,0,1,1
1639,1045865699136757,4.0,1,1,15.0,20.0,0,0,1
1640,1045931096324971,2.0,0,0,17.0,9.0,1,0,1
1641,1045948293216787,6.0,0,1,4.0,6.0,0,1,3
1642,1045959505556256,4.0,1,1,4.0,10.0,0,1,4
1643,1045979459961821,5.0,0,0,13.0,8.0,1,1,3
1644,1045997125432864,2.5,0,0,107.0,9.0,1,0,5
1645,1045998019482866,6.0,1,0,2.0,6.0,0,0,5
1646,1046003597196285,5.0,0,1,82.0,27.0,1,0,2
1647,1046064227631606,4.0,0,1,22.0,7.0,1,0,3
1648,1046174473615630,4.0,1,0,2.0,4.0,0,0,6
1649,1046282390104097,5.0,1,1,5.0,9.0,0,0,4
1650,1046301113472050,3.0,0,0,1.0,3.0,1,1,3
1651,1046305389288490,6.0,0,1,4.0,15.0,0,0,3
1652,1046343579087058,4.0,1,1,2.0,2.0,1,1,5
1653,1046403677057510,5.0,0,1,1.0,5.0,0,0,4
1654,1046418667664364,7.0,0,1,10.0,24.0,1,1,5
1655,1046446044110692,1.0,1,0,23.0,12.0,0,0,6
1656,1046448384862330,5.0,1,1,1.0,5.0,0,0,0
1657,1046467552588032,4.0,1,0,24.0,5.0,0,0,4
1658,1046499017341869,4.0,0,1,3.0,5.0,0,0,0
1659,1046523714656312,4.0,1,0,6.0,16.0,0,1,6
1660,1046563932518719,4.0,0,0,2.0,4.0,1,1,6
1661,1046564222898634,4.0,1,0,4.0,16.0,1,1,7
1662,1046596569759866,5.0,0,0,9.0,4.0,0,0,4
1663,1046624995739807,4.0,1,1,14.0,12.0,0,1,4
1664,1046651699162105,4.0,0,1,7.0,8.0,1,1,4
1665,1046686061382195,7.0,0,1,1.0,7.0,0,1,1
1666,1046720230338474,3.0,1,0,277.0,54.0,0,0,4
1667,1046751912786351,7.0,1,0,5.0,7.0,1,0,5
1668,1046772066817159,5.0,1,1,44.0,21.0,1,0,7
1669,1046786613009478,3.0,1,0,38.0,11.0,1,0,1
1670,1046841441527171,4.0,1,0,16.0,16.0,1,1,0
1671,1046844040379714,3.0,0,1,1.0,3.0,1,0,4
1672,1046846166605500,3.0,0,0,1.0,3.0,0,0,4
1673,1046925007883007,7.0,0,1,3.0,26.0,0,0,1
1674,1046947444474792,4.0,1,0,4.0,6.0,1,1,4
1675,1046967561370777,6.0,0,1,19.0,28.0,1,0,6
1676,1046999506621521,2.0,1,1,2.0,7.0,0,1,1
1677,1047034055749049,4.0,1,1,8.0,6.0,1,1,6
1678,1047072489843612,4.0,0,1,1.0,10.0,1,1,5
1679,1047074285555300,4.0,1,1,5.0,7.0,1,1,3
1680,1047081958993345,4.0,0,1,23.0,11.0,1,0,6
1681,1047083335922979,5.0,1,1,13.0,7.0,1,1,6
1682,1047114367084356,6.0,1,0,6.0,6.0,1,0,4
1683,1047122596139990,3.0,0,1,23.0,22.0,1,0,3
1684,1047127256639285,4.0,1,0,40.0,23.0,1,1,6
1685,1047157490027593,6.0,0,0,1.0,3.0,0,0,3
1686,1047267549932423,4.0,0,0,35.0,17.0,1,0,5
1687,1047291597503168,6.0,0,0,11.0,17.0,1,0,3
1688,1047344324398213,6.0,1,1,17.0,22.0,0,0,7
1689,1047354335708017,4.0,1,1,16.0,26.0,0,0,4
1690,1047405430051079,4.0,0,1,10.0,7.0,1,1,6
1691,1047430444405235,3.0,0,1,34.0,19.0,0,0,4
1692,1047453101003438,3.0,0,1,3.0,19.0,0,1,1
1693,1047471996211882,4.0,0,1,1.0,4.0,0,1,3
1694,1047475348538696,4.0,1,0,68.0,19.0,0,0,4
1695,1047490065398408,4.0,1,1,4.0,2.0,1,0,5
1696,1047529374028314,4.0,1,1,1.0,2.0,0,0,7
1697,1047532828272836,4.0,1,0,15.0,7.0,1,1,4
1698,1047548635863594,6.0,0,1,54.0,27.0,0,0,0
1699,1047571101238213,5.0,0,1,1.0,5.0,0,1,8
1700,1047603718353758,3.0,0,1,33.0,14.0,0,0,6
1701,1047610202894536,4.0,0,0,1.0,4.0,1,1,3
1702,1047633546096022,6.0,0,1,22.0,34.0,0,0,7
1703,1047679012524576,5.0,0,1,72.0,39.0,1,1,0
1704,1047679700558791,4.0,0,0,1.0,4.0,0,1,5
1705,1047704694698465,4.0,1,1,5.0,6.0,0,0,0
1706,1047709987489621,3.0,1,1,10.0,5.0,1,1,0
1707,1047737326450520,3.0,0,1,8.0,3.0,0,0,6
1708,1047756007556535,1.0,0,0,1.0,1.0,0,0,5
1709,1047770020147761,7.0,1,0,4.0,8.0,0,0,7
1710,1047778127493637,3.0,0,0,275.0,51.0,0,0,0
1711,1047814098792796,8.0,0,0,1.0,8.0,0,0,5
1712,1047823602449101,3.0,0,0,20.0,16.0,1,1,8
1713,1047844514828839,3.0,0,1,12.0,12.0,1,0,6
1714,1047871974539357,3.0,0,0,10.0,12.0,0,0,2
1715,1047893003118791,3.0,0,1,50.0,19.0,0,0,3
1716,1047924354865376,4.0,0,0,12.0,12.0,1,0,3
1717,1047950103077738,4.0,1,1,4.0,9.0,1,0,7
1718,1047965312058430,5.0,0,1,35.0,28.0,1,1,5
1719,1048004152484210,6.0,0,1,3.0,6.0,1,1,6
1720,1048010005537828,4.0,1,1,151.0,29.0,1,1,2
1721,1048011093634840,4.0,1,0,16.0,16.0,0,0,4
1722,1048019371148249,4.0,0,1,28.0,22.0,0,0,3
1723,1048042365703759,4.0,1,1,5.0,3.0,0,0,0
1724,1048087637452959,5.0,0,1,16.0,14.0,1,0,6
1725,1048087748232648,2.0,0,1,30.0,37.0,0,0,2
1726,1048100407993879,4.0,0,1,5.0,2.0,0,1,4
1727,1048142658453276,4.0,0,1,4.0,12.0,1,1,6
1728,1048145085222187,4.0,1,1,25.0,7.0,0,1,6
1729,1048204459270312,4.0,1,0,88.0,25.0,1,0,0
1730,1048229426231783,4.0,1,1,39.0,23.0,1,0,0
1731,1048288695996328,4.0,1,1,27.0,21.0,0,1,4
1732,1048311471358475,4.0,1,1,17.0,26.0,0,0,5
1733,1048340862882688,5.0,1,1,2.0,5.0,0,1,1
1734,1048384863451733,2.0,0,0,16.0,6.0,0,0,3
1735,1048426437752249,5.0,1,0,37.0,34.0,0,0,0
1736,1048476042959175,7.0,1,0,2.0,7.0,1,1,1
1737,1048519190181408,4.0,1,1,2.0,4.0,0,1,6
1738,1048534572486001,4.0,1,1,5.0,10.0,0,1,0
1739,1048547008342024,5.0,0,0,1.0,32.0,1,0,5
1740,1048592575793281,5.0,0,0,1.0,5.0,0,0,6
1741,1048662778515772,6.0,0,1,125.0,32.0,0,0,1
1742,1048665502265721,2.0,0,0,2.0,18.0,0,0,5
1743,1048713532935838,4.0,1,1,5.0,5.0,0,1,1
1744,1048725909365834,3.0,0,0,39.0,19.0,0,1,0
1745,1048764897672470,4.0,1,1,10.0,4.0,1,1,4
1746,1048808015964938,4.0,1,1,45.0,11.0,1,1,0
1747,1048822455736092,4.0,0,1,8.0,6.0,0,1,6
1748,1048831487663429,4.0,0,1,10.0,8.0,1,1,0
1749,1048843088092188,3.0,1,0,2.0,4.0,0,1,4
1750,1048861546861770,3.0,0,0,3.0,3.0,0,1,4
1751,1048863908643260,4.0,0,1,17.0,11.0,1,0,6
1752,1048895887646468,4.0,0,1,6.0,5.0,0,0,1
1753,1048915098403039,4.0,1,1,4.0,12.0,0,1,2
1754,1048921152921432,4.0,0,1,1.0,4.0,0,0,1
1755,1048943112893610,2.0,1,0,6.0,8.0,0,1,5
1756,1048964988038936,4.0,1,0,5.0,4.0,0,0,4
1757,1048981407887968,5.0,1,0,1.0,5.0,0,0,8
1758,1049073381554789,2.0,1,1,60.0,6.0,1,1,7
1759,1049090105081864,6.0,1,1,26.0,32.0,0,0,6
1760,1049116064921499,5.0,1,1,6.0,7.0,0,1,0
1761,1049137829843207,3.0,1,0,42.0,9.0,0,1,6
1762,1049186978910803,4.0,0,0,54.0,26.0,1,0,5
1763,1049194452615229,5.0,0,0,14.0,6.0,1,0,4
1764,1049206696476839,5.0,1,0,2.0,5.0,0,1,6
1765,1049207414923116,4.0,1,1,8.0,10.0,1,1,3
1766,1049219203520178,5.0,0,0,6.0,13.0,0,1,1
1767,1049225786504351,3.0,1,1,22.0,5.0,0,1,4
1768,1049234433381122,4.0,1,1,7.0,8.0,0,1,1
1769,1049296252030551,3.0,1,1,21.0,16.0,1,0,3
1770,1049316737767885,4.0,1,0,2.0,5.0,0,1,6
1771,1049329662050113,4.0,0,0,3.0,7.0,1,0,3
1772,1049332729795551,1.0,0,0,1.0,1.0,0,0,8
1773,1049339912492587,4.0,0,1,1.0,2.0,0,1,0
1774,1049389129901440,4.0,1,1,12.0,6.0,0,1,4
1775,1049399545633764,4.0,0,1,61.0,15.0,0,0,4
1776,1049424164275276,4.0,0,1,17.0,10.0,1,0,4
1777,1049426023061686,4.0,1,1,1.0,4.0,0,1,6
1778,1049467790434761,4.0,0,1,8.0,5.0,0,0,1
1779,1049491721792729,3.0,1,1,3.0,9.0,0,0,6
1780,1049493319600799,4.0,0,1,53.0,23.0,1,0,0
1781,1049532071774598,4.0,0,1,7.0,8.0,0,0,1
1782,1049536043140541,5.0,0,0,18.0,11.0,1,0,4
1783,1049547759186556,4.0,1,1,77.0,17.0,1,1,4
1784,1049562361086421,6.0,0,0,66.0,35.0,0,1,3
1785,1049565474588547,5.0,1,1,4.0,12.0,1,1,3
1786,1049577108661083,6.0,0,0,4.0,7.0,1,0,1
1787,1049628236296033,4.0,1,1,44.0,32.0,1,0,4
1788,1049731818307277,5.0,1,1,9.0,16.0,0,1,3
1789,1049734269570870,4.0,0,1,61.0,21.0,1,0,0
1790,1049735133222758,4.0,0,1,31.0,23.0,0,0,3
1791,1049792624955939,4.0,1,1,8.0,5.0,1,0,2
1792,1049806052898215,4.0,1,1,4.0,2.0,1,0,6
1793,1049841009938798,4.0,0,1,16.0,21.0,1,0,5
1794,1049871446009539,4.0,0,1,2.0,10.0,0,0,5
1795,1049903075813062,4.0,0,1,174.0,24.0,0,0,2
1796,1049913224244302,4.0,0,1,1.0,4.0,0,1,1
1797,1049919490433426,8.0,0,1,4.0,2.0,1,0,0
1798,1049926461907619,5.0,1,1,2.0,5.0,0,1,8
1799,1049971743932292,4.0,0,1,1.0,7.0,1,1,6
1800,1050030810573625,4.0,1,1,36.0,13.0,1,1,5
1801,1050045022082025,4.0,0,1,40.0,21.0,0,1,3
1802,1050116074434039,4.0,0,1,16.0,8.0,0,1,3
1803,1050136826112749,3.0,1,1,33.0,15.0,0,0,0
1804,1050141016179365,7.0,0,0,29.0,33.0,1,1,1
1805,1050145995638073,4.0,1,1,16.0,5.0,1,0,4
1806,1050157136344019,4.0,1,1,8.0,16.0,0,1,6
1807,1050162567048764,6.0,0,0,5.0,7.0,0,0,1
1808,1050194546722143,3.0,1,0,5.0,5.0,0,1,6
1809,1050224460169394,5.0,1,0,5.0,5.0,0,0,5
1810,1050234621474472,5.0,1,1,13.0,10.0,1,1,5
1811,1050269541342655,4.0,1,1,3.0,4.0,1,1,3
1812,1050336407353442,6.0,0,0,1.0,2.0,0,1,1
1813,1050364748362205,4.0,1,1,3.0,1.0,0,0,4
1814,1050402328968536,4.0,1,0,2.0,10.0,0,0,6
1815,1050405469171971,4.0,1,0,20.0,12.0,1,1,6
1816,1050423910946459,5.0,1,1,3.0,20.0,0,0,4
1817,1050426471077266,4.0,0,1,14.0,11.0,0,0,6
1818,1050449859102671,4.0,0,1,5.0,6.0,0,0,6
1819,1050474780893978,5.0,1,1,8.0,9.0,1,0,0
1820,1050508903752146,3.0,0,1,12.0,1.0,1,0,4
1821,1050514825934027,4.0,1,1,12.0,6.0,0,0,6
1822,1050516524103988,5.0,0,1,78.0,25.0,1,0,1
1823,1050550735495654,3.0,0,1,1.0,3.0,0,0,3
1824,1050567032375329,4.0,1,1,182.0,38.0,1,0,4
1825,1050568401968517,4.0,1,1,35.0,12.0,1,0,6
1826,1050574506102169,5.0,1,1,15.0,7.0,1,1,4
1827,1050604014505548,3.0,1,0,1.0,3.0,1,0,8
1828,1050633290063749,4.0,1,0,16.0,13.0,0,1,0
1829,1050674346010508,5.0,1,1,5.0,5.0,0,1,0
1830,1050677915734683,4.0,0,0,1.0,4.0,1,0,5
1831,1050684468741570,5.0,0,0,1.0,5.0,1,0,7
1832,1050706034415231,5.0,1,0,4.0,17.0,1,0,4
1833,1050709055776428,5.0,0,0,221.0,44.0,0,0,0
1834,1050746618632869,5.0,0,1,39.0,42.0,1,0,3
